,Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M)
1052,-17.724,-8964.48,-0.006564444,-22.4112,-51.7852,-235234,-0.019179704,-588.085,50.5934,259832,0.018738296,649.58,34.6781,157459,0.012843741,393.6475,61.0031,212408,0.022593741,531.02,-17.7313,-129488,-0.006567148,-323.72,,,,,,,,,,,,,,,,,,,,,,,,
1053,-12.324,20009.4,-0.004564444,50.0235,-50.4352,-227811,-0.018679704,-569.5275,58.6934,274982,0.021738296,687.455,42.7781,174649,0.015843741,436.6225,69.1031,226286,0.025593741,565.715,-23.1313,-144064,-0.008567148,-360.16,,,,,,,,,,,,,,,,,,,,,,,,
1054,-6.92402,48225.1,-0.002564452,120.56275,-48.4102,-216668,-0.017929704,-541.67,66.7934,286248,0.024738296,715.62,50.8781,190712,0.018843741,476.78,77.2031,239226,0.028593741,598.065,-28.5313,-157788,-0.010567148,-394.47,,,,,,,,,,,,,,,,,,,,,,,,
1055,-1.52402,75465.7,-0.000564452,188.66425,-45.3727,-199940,-0.016804704,-499.85,74.8934,295037,0.027738296,737.5925,58.9781,205676,0.021843741,514.19,76.6969,236443,0.028406259,591.1075,-33.9313,-170734,-0.012567148,-426.835,,,,,,,,,,,,,,,,,,,,,,,,
1056,5.81396,108611,0.002153319,271.5275,-40.8164,-174825,-0.015117185,-437.0625,79.0066,298802,0.029261704,747.005,67.0781,219605,0.024843741,549.0125,68.5969,191829,0.025406259,479.5725,-39.3313,-182978,-0.014567148,-457.445,,,,,,,,,,,,,,,,,,,,,,,,
1057,13.914,135358,0.005153333,338.395,-35.4164,-145041,-0.013117185,-362.6025,76.9816,287044,0.028511704,717.61,75.1781,232600,0.027843741,581.5,60.4969,147159,0.022406259,367.8975,-44.7313,-194578,-0.016567148,-486.445,,,,,,,,,,,,,,,,,,,,,,,,
1058,22.014,154635,0.008153333,386.5875,-30.0164,-115249,-0.011117185,-288.1225,73.9441,269344,0.027386704,673.36,78.7219,238014,0.029156259,595.035,52.3969,102497,0.019406259,256.2425,-50.1313,-205602,-0.018567148,-514.005,,,,,,,,,,,,,,,,,,,,,,,,
1059,30.114,170088,0.011153333,425.22,-24.6164,-85483.3,-0.009117185,-213.70825,69.3879,242720,0.025699222,606.8,76.6969,226802,0.028406259,567.005,44.2969,58383.5,0.016406259,145.95875,-52.4687,-210203,-0.019432852,-525.5075,,,,,,,,,,,,,,,,,,,,,,,,
1060,38.214,182741,0.014153333,456.8525,-19.2164,-55776.6,-0.007117185,-139.4415,62.5535,202701,0.023167963,506.7525,73.6594,209968,0.027281259,524.92,36.1969,16630.4,0.013406259,41.576,-47.0687,-178576,-0.017432852,-446.44,,,,,,,,,,,,,,,,,,,,,,,,
1061,46.314,193376,0.017153333,483.44,-13.8164,-26210.3,-0.005117185,-65.52575,54.4535,155216,0.020167963,388.04,69.1031,184692,0.025593741,461.73,28.0969,-16559.2,0.010406259,-41.398,-41.6687,-146931,-0.015432852,-367.3275,,,,,,,,,,,,,,,,,,,,,,,,
1062,54.414,202423,0.020153333,506.0575,-8.41641,3078.02,-0.003117189,7.69505,46.3535,107775,0.017167963,269.4375,62.2687,146759,0.023062481,366.8975,19.9969,-44567.8,0.007406259,-111.4195,-36.2687,-115277,-0.013432852,-288.1925,,,,,,,,,,,,,,,,,,,,,,,,
1063,62.514,209953,0.023153333,524.8825,-3.01641,31886.8,-0.001117189,79.717,38.2535,60587.2,0.014167963,151.468,54.1688,101827,0.020062519,254.5675,11.8969,-69595.3,0.004406259,-173.98825,-30.8687,-83625.4,-0.011432852,-209.0635,,,,,,,,,,,,,,,,,,,,,,,,
1064,70.614,216321,0.026153333,540.8025,3.57539,66433.4,0.001324219,166.0835,30.1535,13983.1,0.011167963,34.95775,46.0687,57567.4,0.017062481,143.9185,3.79688,-92371.5,0.001406252,-230.92875,-25.4687,-52091.3,-0.009432852,-130.22825,,,,,,,,,,,,,,,,,,,,,,,,
1065,78.714,221807,0.029153333,554.5175,11.6754,107528,0.004324222,268.82,22.0535,-31822.1,0.008167963,-79.55525,37.9688,17010.4,0.014062519,42.526,-4.30312,-113403,-0.001593748,-283.5075,-20.0687,-21097.8,-0.007432852,-52.7445,,,,,,,,,,,,,,,,,,,,,,,,
1066,75.186,202239,0.027846667,505.5975,19.7754,145891,0.007324222,364.7275,13.9535,-76502.7,0.005167963,-191.25675,29.8687,-14647.9,0.011062481,-36.61975,-12.4031,-132939,-0.004593741,-332.3475,-14.6687,8918.3,-0.005432852,22.29575,,,,,,,,,,,,,,,,,,,,,,,,
1067,67.086,157272,0.024846667,393.18,27.8754,177535,0.010324222,443.8375,5.85352,-118848,0.00216797,-297.12,21.7687,-41776.8,0.008062481,-104.442,-20.5031,-151138,-0.007593741,-377.845,-9.26873,35482.9,-0.003432863,88.70725,,,,,,,,,,,,,,,,,,,,,,,,
1068,58.986,112289,0.021846667,280.7225,35.9754,201641,0.013324222,504.1025,-2.24648,-157912,-0.00083203,-394.78,13.6687,-66154.4,0.005062481,-165.386,-28.6031,-168518,-0.010593741,-421.295,-3.86873,57599,-0.001432863,143.9975,,,,,,,,,,,,,,,,,,,,,,,,
1069,50.886,67419.3,0.018846667,168.54825,44.0754,220092,0.016324222,550.23,-10.3465,-189677,-0.003832037,-474.1925,5.56875,-88471.8,0.0020625,-221.1795,-36.7031,-184885,-0.013593741,-462.2125,2.29691,79758,0.000850707,199.395,,,,,,,,,,,,,,,,,,,,,,,,
1070,42.786,23172.1,0.015846667,57.93025,52.1754,234754,0.019324222,586.885,-18.4465,-214436,-0.006832037,-536.09,-2.53125,-109128,-0.0009375,-272.82,-44.8031,-200279,-0.016593741,-500.6975,10.3969,105729,0.003850704,264.3225,,,,,,,,,,,,,,,,,,,,,,,,
1071,34.686,-20170.5,0.012846667,-50.42625,60.2754,246234,0.022324222,615.585,-26.5465,-234497,-0.009832037,-586.2425,-10.6313,-128329,-0.003937519,-320.8225,-52.9031,-214751,-0.019593741,-536.8775,18.4969,129065,0.006850704,322.6625,,,,,,,,,,,,,,,,,,,,,,,,
1072,26.586,-61549.1,0.009846667,-153.87275,68.3754,255333,0.025324222,638.3325,-34.6465,-251455,-0.012832037,-628.6375,-18.7313,-146314,-0.006937519,-365.785,-61.0031,-228351,-0.022593741,-570.8775,26.5969,150480,0.009850704,376.2,,,,,,,,,,,,,,,,,,,,,,,,
1073,18.486,-96756.9,0.006846667,-241.89225,76.4754,262773,0.028324222,656.9325,-42.7465,-265462,-0.015832037,-663.655,-26.8312,-163409,-0.009937481,-408.5225,-69.1031,-241106,-0.025593741,-602.765,34.6969,170106,0.012850704,425.265,,,,,,,,,,,,,,,,,,,,,,,,
1074,10.386,-122190,0.003846667,-305.475,77.4246,263558,0.028675778,658.895,-50.8465,-277105,-0.018832037,-692.7625,-34.9313,-179655,-0.012937519,-449.1375,-77.2031,-253013,-0.028593741,-632.5325,42.7969,188188,0.015850704,470.47,,,,,,,,,,,,,,,,,,,,,,,,
1075,2.28604,-141107,0.000846681,-352.7675,75.3996,252442,0.027925778,631.105,-58.9465,-286634,-0.021832037,-716.585,-43.0313,-194958,-0.015937519,-487.395,-76.6969,-250240,-0.028406259,-625.6,50.8969,204947,0.018850704,512.3675,,,,,,,,,,,,,,,,,,,,,,,,
1076,-5.81396,-156201,-0.002153319,-390.5025,72.3621,235738,0.026800778,589.345,-67.0465,-294516,-0.024832037,-736.29,-51.1312,-209362,-0.018937481,-523.405,-68.5969,-205766,-0.025406259,-514.415,58.9969,220455,0.021850704,551.1375,,,,,,,,,,,,,,,,,,,,,,,,
1077,-13.914,-168699,-0.005153333,-421.7475,67.8059,210641,0.025113296,526.6025,-75.1465,-300983,-0.027832037,-752.4575,-59.2313,-222908,-0.021937519,-557.27,-60.4969,-161177,-0.022406259,-402.9425,67.0969,234785,0.024850704,586.9625,,,,,,,,,,,,,,,,,,,,,,,,
1078,-22.014,-179731,-0.008153333,-449.3275,60.9715,172940,0.022582037,432.35,-78.7535,-303523,-0.029167963,-758.8075,-67.3313,-235628,-0.024937519,-589.07,-52.3969,-116561,-0.019406259,-291.4025,75.1969,248086,0.027850704,620.215,,,,,,,,,,,,,,,,,,,,,,,,
1079,-30.114,-189728,-0.011153333,-474.32,52.8715,128234,0.019582037,320.585,-76.7285,-291831,-0.028417963,-729.5775,-75.4313,-247530,-0.027937519,-618.825,-44.2969,-72389.8,-0.016406259,-180.9745,78.7031,253546,0.029149296,633.865,,,,,,,,,,,,,,,,,,,,,,,,
1080,-38.214,-198391,-0.014153333,-495.9775,44.7715,83609.9,0.016582037,209.02475,-74.7035,-280101,-0.027667963,-700.2525,-78.4688,-251786,-0.029062519,-629.465,-36.1969,-30166.7,-0.013406259,-75.41675,76.6781,241713,0.028399296,604.2825,,,,,,,,,,,,,,,,,,,,,,,,
1081,-46.314,-205942,-0.017153333,-514.855,36.6715,39351.1,0.013582037,98.37775,-72.6785,-268346,-0.026917963,-670.865,-76.4437,-240615,-0.028312481,-601.5375,-28.0969,3833.29,-0.010406259,9.583225,73.6406,223945,0.027274296,559.8625,,,,,,,,,,,,,,,,,,,,,,,,
1082,-54.414,-212546,-0.020153333,-531.365,28.5715,-4226.37,0.010582037,-10.565925,-69.641,-250681,-0.025792963,-626.7025,-73.4063,-223835,-0.027187519,-559.5875,-19.9969,32352.9,-0.007406259,80.88225,69.0843,197268,0.025586778,493.17,,,,,,,,,,,,,,,,,,,,,,,,
1083,-62.514,-218283,-0.023153333,-545.7075,20.4715,-46993.2,0.007582037,-117.483,-65.0848,-224137,-0.024105481,-560.3425,-68.85,-198627,-0.0255,-496.5675,-11.8969,57887.3,-0.004406259,144.71825,62.25,157229,0.023055556,393.0725,,,,,,,,,,,,,,,,,,,,,,,,
1084,-70.614,-223278,-0.026153333,-558.195,12.3715,-88014.6,0.004582037,-220.0365,-58.2504,-184247,-0.021574222,-460.6175,-62.0156,-160762,-0.022968741,-401.905,-3.79688,81225.7,-0.001406252,203.06425,54.15,109783,0.020055556,274.4575,,,,,,,,,,,,,,,,,,,,,,,,
1085,-78.714,-227601,-0.029153333,-569.0025,4.27148,-125815,0.00158203,-314.5375,-50.1504,-136937,-0.018574222,-342.3425,-53.9156,-115875,-0.019968741,-289.6875,4.30312,102772,0.001593748,256.93,46.05,62903.4,0.017055556,157.2585,,,,,,,,,,,,,,,,,,,,,,,,
1086,-80.739,-228587,-0.029903333,-571.4675,-3.82852,-156195,-0.00141797,-390.4875,-42.0504,-89819.8,-0.015574222,-224.5495,-45.8156,-71543.6,-0.016968741,-178.859,12.4031,122793,0.004593741,306.9825,37.95,18197.9,0.014055556,45.49475,,,,,,,,,,,,,,,,,,,,,,,,
1087,-78.2235,-214718,-0.028971667,-536.795,-11.9285,-179449,-0.004417963,-448.6225,-33.9504,-43024.2,-0.012574222,-107.5605,-37.7156,-30219.5,-0.013968741,-75.54875,20.5031,141502,0.007593741,353.755,29.85,-17619.1,0.011055556,-44.04775,,,,,,,,,,,,,,,,,,,,,,,,
1088,-75.186,-197954,-0.027846667,-494.885,-20.0285,-197618,-0.007417963,-494.045,-25.8504,3135.87,-0.009574222,7.839675,-29.6156,2101.66,-0.010968741,5.25415,28.6031,159145,0.010593741,397.8625,21.75,-47444,0.008055556,-118.61,,,,,,,,,,,,,,,,,,,,,,,,
1089,-72.1485,-181177,-0.026721667,-452.9425,-28.1285,-213416,-0.010417963,-533.54,-17.7504,48252.3,-0.006574222,120.63075,-21.5156,29726.7,-0.007968741,74.31675,36.7031,175933,0.013593741,439.8325,13.65,-73910.4,0.005055556,-184.776,,,,,,,,,,,,,,,,,,,,,,,,
1090,-67.5923,-155993,-0.025034185,-389.9825,-36.2285,-226776,-0.013417963,-566.94,-9.65039,91439.2,-0.003574219,228.598,-13.4156,54627,-0.004968741,136.5675,44.8031,191774,0.016593741,479.435,5.54996,-97834,0.002055541,-244.585,,,,,,,,,,,,,,,,,,,,,,,,
1091,-60.7579,-118199,-0.022502926,-295.4975,-44.3285,-238086,-0.016417963,-595.215,-1.55039,132240,-0.000574219,330.6,-5.31563,77483.7,-0.001968752,193.70925,52.9031,206724,0.019593741,516.81,-2.55004,-119815,-0.000944459,-299.5375,,,,,,,,,,,,,,,,,,,,,,,,
1092,-52.6579,-73547.4,-0.019502926,-183.8685,-52.4285,-247785,-0.019417963,-619.4625,6.54961,168347,0.002425781,420.8675,2.78437,98625.6,0.001031248,246.564,61.0031,220832,0.022593741,552.08,-10.65,-140157,-0.003944444,-350.3925,,,,,,,,,,,,,,,,,,,,,,,,
1093,-44.5579,-29433.8,-0.016502926,-73.5845,-60.5285,-255977,-0.022417963,-639.9425,14.6496,197393,0.005425778,493.4825,10.8844,118327,0.004031259,295.8175,69.1031,234126,0.025593741,585.315,-18.75,-159041,-0.006944444,-397.6025,,,,,,,,,,,,,,,,,,,,,,,,
1094,-36.4579,13549.2,-0.013502926,33.873,-68.6285,-262870,-0.025417963,-657.175,22.7496,220104,0.008425778,550.26,18.9844,136805,0.007031259,342.0125,77.2031,246619,0.028593741,616.5475,-26.85,-176886,-0.009944444,-442.215,,,,,,,,,,,,,,,,,,,,,,,,
1095,-28.3579,54374.1,-0.010502926,135.93525,-76.7285,-268616,-0.028417963,-671.54,30.8496,238774,0.011425778,596.935,27.0844,154206,0.010031259,385.515,76.6969,243840,0.028406259,609.6,-34.95,-193774,-0.012944444,-484.435,,,,,,,,,,,,,,,,,,,,,,,,
1096,-20.2579,89505.9,-0.007502926,223.76475,-77.1715,-268905,-0.028582037,-672.2625,38.9496,254548,0.014425778,636.37,35.1844,170842,0.013031259,427.105,68.5969,199296,0.025406259,498.24,-43.05,-209586,-0.015944444,-523.965,,,,,,,,,,,,,,,,,,,,,,,,
1097,-12.1579,115520,-0.004502926,288.8,-75.1465,-257846,-0.027832037,-644.615,47.0496,267793,0.017425778,669.4825,43.2844,186580,0.016031259,466.45,60.4969,154675,0.022406259,386.6875,-51.15,-224415,-0.018944444,-561.0375,,,,,,,,,,,,,,,,,,,,,,,,
1098,-4.05791,134951,-0.00150293,337.3775,-72.109,-241224,-0.026707037,-603.06,55.1496,278976,0.020425778,697.44,51.3844,201447,0.019031259,503.6175,52.3969,110045,0.019406259,275.1125,-59.25,-238306,-0.021944444,-595.765,,,,,,,,,,,,,,,,,,,,,,,,
1099,4.04209,150577,0.00149707,376.4425,-67.5527,-216240,-0.025019519,-540.6,63.2496,288408,0.023425778,721.02,59.4844,215487,0.022031259,538.7175,44.2969,65805.9,0.016406259,164.51475,-67.35,-251287,-0.024944444,-628.2175,,,,,,,,,,,,,,,,,,,,,,,,
1100,12.1421,163621,0.004497074,409.0525,-60.7184,-178693,-0.022488296,-446.7325,71.3496,296334,0.026425778,740.835,67.5844,228726,0.025031259,571.815,36.1969,23324.2,0.013406259,58.3105,-75.45,-263369,-0.027944444,-658.4225,,,,,,,,,,,,,,,,,,,,,,,,
1101,20.2421,174773,0.007497074,436.9325,-52.6184,-134136,-0.019488296,-335.34,79.4496,302982,0.029425778,757.455,75.6844,241183,0.028031259,602.9575,28.0969,-11177.2,0.010406259,-27.943,-78.45,-267617,-0.029055556,-669.0425,,,,,,,,,,,,,,,,,,,,,,,,
1102,28.3421,184767,0.010497074,461.9175,-44.5184,-89691.2,-0.016488296,-224.228,80.5254,303784,0.029824222,759.46,78.2156,244920,0.028968741,612.3,19.9969,-39810.2,0.007406259,-99.5255,-76.425,-255829,-0.028305556,-639.5725,,,,,,,,,,,,,,,,,,,,,,,,
1103,36.4421,193789,0.013497074,484.4725,-36.4184,-45564.3,-0.013488296,-113.91075,79.766,299392,0.029542963,748.48,76.1906,233728,0.028218741,584.32,11.8969,-65280.7,0.004406259,-163.20175,-73.3875,-238122,-0.027180556,-595.305,,,,,,,,,,,,,,,,,,,,,,,,
1104,44.5421,201743,0.016497074,504.3575,-28.3184,-2038.89,-0.010488296,-5.097225,78.627,292792,0.029121111,731.98,73.1531,216920,0.027093741,542.3,3.79688,-88459.7,0.001406252,-221.14925,-68.8312,-211519,-0.025493037,-528.7975,,,,,,,,,,,,,,,,,,,,,,,,
1105,52.6421,208808,0.019497074,522.02,-20.2184,40512.4,-0.007488296,101.281,76.9184,282871,0.028488296,707.1775,68.5969,191680,0.025406259,479.2,-4.30312,-109841,-0.001593748,-274.6025,-61.9968,-171557,-0.022961778,-428.8925,,,,,,,,,,,,,,,,,,,,,,,,
1106,60.7421,215083,0.022497074,537.7075,-12.1184,81182,-0.004488296,202.955,74.3555,267949,0.027539074,669.8725,61.7625,153792,0.022875,384.48,-12.4031,-129687,-0.004593741,-324.2175,-53.8968,-124173,-0.019961778,-310.4325,,,,,,,,,,,,,,,,,,,,,,,,
1107,68.8421,220637,0.025497074,551.5925,-4.01836,118893,-0.001488281,297.2325,70.5111,245517,0.026115222,613.7925,53.6625,108882,0.019875,272.205,-20.5031,-148180,-0.007593741,-370.45,-45.7968,-77248.7,-0.016961778,-193.12175,,,,,,,,,,,,,,,,,,,,,,,,
1108,76.9421,225521,0.028497074,563.8025,4.08164,149995,0.001511719,374.9875,64.7446,211806,0.023979481,529.515,45.5625,64466.4,0.016875,161.166,-28.6031,-165563,-0.010593741,-413.9075,-37.6968,-32177.9,-0.013961778,-80.44475,,,,,,,,,,,,,,,,,,,,,,,,
1109,76.9579,225530,0.028502926,563.825,12.1816,174046,0.004511704,435.115,56.6446,164391,0.020979481,410.9775,37.4625,22724.7,0.013875,56.81175,-36.7031,-182258,-0.013593741,-455.645,-29.5968,4578.23,-0.010961778,11.445575,,,,,,,,,,,,,,,,,,,,,,,,
1110,74.9329,214330,0.027752926,535.825,20.2816,192920,0.007511704,482.3,48.5446,116995,0.017979481,292.4875,29.3625,-10008.9,0.010875,-25.02225,-44.8031,-197967,-0.016593741,-494.9175,-21.4968,34957.3,-0.007961778,87.39325,,,,,,,,,,,,,,,,,,,,,,,,
1111,72.9079,203123,0.027002926,507.8075,28.3816,208642,0.010511704,521.605,40.4446,69824.3,0.014979481,174.56075,21.2625,-37702.3,0.007875,-94.25575,-52.9031,-212747,-0.019593741,-531.8675,-13.3968,61951.7,-0.004961778,154.87925,,,,,,,,,,,,,,,,,,,,,,,,
1112,69.8704,186305,0.025877926,465.7625,36.4816,222354,0.013511704,555.885,32.3446,23189.8,0.011979481,57.9745,13.1625,-62491.3,0.004875,-156.22825,-61.0031,-226661,-0.022593741,-566.6525,-5.29684,86476,-0.001961793,216.19,,,,,,,,,,,,,,,,,,,,,,,,
1113,65.3142,161065,0.024190444,402.6625,44.5816,234089,0.016511704,585.2225,24.2446,-22648.7,0.008979481,-56.62175,5.0625,-85180.9,0.001875,-212.95225,-69.1031,-239734,-0.025593741,-599.335,2.80316,109015,0.001038207,272.5375,,,,,,,,,,,,,,,,,,,,,,,,
1114,58.4798,123194,0.021659185,307.985,52.6816,244260,0.019511704,610.65,16.1446,-67414.3,0.005979481,-168.53575,-3.0375,-106164,-0.001125,-265.41,-77.2031,-251979,-0.028593741,-629.9475,10.9032,129880,0.004038222,324.7,,,,,,,,,,,,,,,,,,,,,,,,
1115,50.3798,78373,0.018659185,195.9325,60.7816,253048,0.022511704,632.62,8.04463,-109967,0.002979493,-274.9175,-11.1375,-125668,-0.004125,-314.17,-76.6969,-249208,-0.028406259,-623.02,19.0032,149293,0.007038222,373.2325,,,,,,,,,,,,,,,,,,,,,,,,
1116,42.2798,34058.8,0.015659185,85.147,68.8816,260654,0.025511704,651.635,-0.0553711,-149559,-2.05E-05,-373.8975,-19.2375,-143905,-0.007125,-359.7625,-68.5969,-204777,-0.025406259,-511.9425,27.1032,167460,0.010038222,418.65,,,,,,,,,,,,,,,,,,,,,,,,
1117,34.1798,-9352.28,0.012659185,-23.3807,76.9816,267137,0.028511704,667.8425,-8.15537,-182325,-0.003020507,-455.8125,-27.3375,-161073,-0.010125,-402.6825,-60.4969,-160232,-0.022406259,-400.58,35.2032,184772,0.013038222,461.93,,,,,,,,,,,,,,,,,,,,,,,,
1118,26.0798,-51049.8,0.009659185,-127.6245,76.9184,266791,0.028488296,666.9775,-16.2554,-208297,-0.006020519,-520.7425,-35.4375,-177552,-0.013125,-443.88,-52.3969,-115643,-0.019406259,-289.1075,43.3032,201051,0.016038222,502.6275,,,,,,,,,,,,,,,,,,,,,,,,
1119,17.9798,-87801.2,0.006659185,-219.503,68.8184,222328,0.025488296,555.82,-24.3554,-228483,-0.009020519,-571.2075,-43.5375,-193151,-0.016125,-482.8775,-44.2969,-71371.4,-0.016406259,-178.4285,51.4032,216379,0.019038222,540.9475,,,,,,,,,,,,,,,,,,,,,,,,
1120,9.87979,-115299,0.003659181,-288.2475,60.7184,177729,0.022488296,444.3225,-32.4554,-244966,-0.012020519,-612.415,-51.6375,-207842,-0.019125,-519.605,-36.1969,-28753.6,-0.013406259,-71.884,59.5032,230800,0.022038222,577,,,,,,,,,,,,,,,,,,,,,,,,
1121,1.77979,-135542,0.000659181,-338.855,52.6184,133088,0.019488296,332.72,-40.5554,-259911,-0.015020519,-649.7775,-59.7375,-221678,-0.022125,-554.195,-28.0969,6572.85,-0.010406259,16.432125,67.6032,244344,0.025038222,610.86,,,,,,,,,,,,,,,,,,,,,,,,
1122,-6.32021,-151393,-0.002340819,-378.4825,44.5184,88514.6,0.016488296,221.2865,-48.6554,-272370,-0.018020519,-680.925,-67.8375,-234688,-0.025125,-586.72,-19.9969,35511.5,-0.007406259,88.77875,75.7032,257032,0.028038222,642.58,,,,,,,,,,,,,,,,,,,,,,,,
1123,-14.4202,-164446,-0.005340815,-411.115,36.4184,44280.9,0.013488296,110.70225,-56.7554,-282770,-0.021020519,-706.925,-75.9375,-246891,-0.028125,-617.2275,-11.8969,61237.5,-0.004406259,153.09375,78.1968,260770,0.028961778,651.925,,,,,,,,,,,,,,,,,,,,,,,,
1124,-22.5202,-175535,-0.008340815,-438.8375,28.3184,721.861,0.010488296,1.8046525,-64.8554,-291464,-0.024020519,-728.66,-77.9625,-249818,-0.028875,-624.545,-3.79688,84703.8,-0.001406252,211.7595,76.1718,248958,0.028211778,622.395,,,,,,,,,,,,,,,,,,,,,,,,
1125,-30.6202,-185241,-0.011340815,-463.1025,20.2184,-42026.2,0.007488296,-105.0655,-72.9554,-298669,-0.027020519,-746.6725,-75.9375,-238657,-0.028125,-596.6425,5.7375,110012,0.002125,275.03,73.1343,231220,0.027086778,578.05,,,,,,,,,,,,,,,,,,,,,,,,
1126,-38.7202,-194432,-0.014340815,-486.08,12.1184,-83041.3,0.004488296,-207.60325,-80.9446,-304418,-0.029979481,-761.045,-72.9,-221892,-0.027,-554.73,16.5375,136152,0.006125,340.38,68.5781,204582,0.025399296,511.455,,,,,,,,,,,,,,,,,,,,,,,,
1127,-46.8202,-202447,-0.017340815,-506.1175,4.01836,-121040,0.001488281,-302.6,-78.9196,-292770,-0.029229481,-731.925,-68.3438,-196709,-0.025312519,-491.7725,27.3375,160071,0.010125,400.1775,61.7437,164593,0.022868037,411.4825,,,,,,,,,,,,,,,,,,,,,,,,
1128,-54.9202,-209462,-0.020340815,-523.655,-4.08164,-152037,-0.001511719,-380.0925,-76.8946,-281083,-0.028479481,-702.7075,-61.5094,-158883,-0.022781259,-397.2075,38.1375,182372,0.014125,455.93,53.6437,117189,0.019868037,292.9725,,,,,,,,,,,,,,,,,,,,,,,,
1129,-63.0202,-215598,-0.023340815,-538.995,-12.1816,-175978,-0.004511704,-439.945,-74.8696,-269370,-0.027729481,-673.425,-53.4094,-114016,-0.019781259,-285.04,48.9375,203071,0.018125,507.6775,45.5437,70190.8,0.016868037,175.477,,,,,,,,,,,,,,,,,,,,,,,,
1130,-71.1202,-220933,-0.026340815,-552.3325,-20.2816,-194599,-0.007511704,-486.4975,-71.8321,-251768,-0.026604481,-629.42,-45.3094,-69562.1,-0.016781259,-173.90525,59.7375,222215,0.022125,555.5375,37.4437,24857.2,0.013868037,62.143,,,,,,,,,,,,,,,,,,,,,,,,
1131,-79.2202,-225520,-0.029340815,-563.8,-28.3816,-209584,-0.010511704,-523.96,-67.2759,-225314,-0.024917,-563.285,-37.2094,-27440.1,-0.013781259,-68.60025,70.5375,239892,0.026125,599.73,29.3437,-12415.3,0.010868037,-31.03825,,,,,,,,,,,,,,,,,,,,,,,,
1132,-80.7548,-226301,-0.029909185,-565.7525,-36.4816,-223428,-0.013511704,-558.57,-60.4415,-185556,-0.022385741,-463.89,-29.1094,5981.88,-0.010781259,14.9547,81.3375,256116,0.030125,640.29,21.2437,-42923.7,0.007868037,-107.30925,,,,,,,,,,,,,,,,,,,,,,,,
1133,-77.7173,-209615,-0.028784185,-524.0375,-44.5816,-235190,-0.016511704,-587.975,-52.3415,-138394,-0.019385741,-345.985,-21.0094,33942.2,-0.007781259,84.8555,92.1375,270900,0.034125,677.25,13.1437,-69866.2,0.004868037,-174.6655,,,,,,,,,,,,,,,,,,,,,,,,
1134,-73.161,-184555,-0.027096667,-461.3875,-52.6816,-245278,-0.019511704,-613.195,-44.2415,-91416.8,-0.016385741,-228.542,-12.9094,58991.6,-0.004781259,147.479,102.938,284181,0.038125185,710.4525,5.04371,-94221.9,0.001868041,-235.55475,,,,,,,,,,,,,,,,,,,,,,,,
1135,-66.3267,-146919,-0.024565444,-367.2975,-60.7816,-253901,-0.022511704,-634.7525,-36.1415,-44748,-0.013385741,-111.87,-4.80937,81935.4,-0.001781248,204.8385,102.262,280514,0.037874815,701.285,-3.05629,-116576,-0.001131959,-291.44,,,,,,,,,,,,,,,,,,,,,,,,
1136,-58.2267,-102298,-0.021565444,-255.745,-68.8816,-261261,-0.025511704,-653.1525,-28.0415,1289.86,-0.010385741,3.22465,4.3875,105897,0.001625,264.7425,91.4625,221487,0.033875,553.7175,-11.1563,-137239,-0.004131963,-343.0975,,,,,,,,,,,,,,,,,,,,,,,,
1137,-50.1267,-57907,-0.018565444,-144.7675,-76.9816,-267372,-0.028511704,-668.43,-19.9415,46245.4,-0.007385741,115.6135,15.1875,131679,0.005625,329.1975,80.6625,162133,0.029875,405.3325,-19.2563,-156413,-0.007131963,-391.0325,,,,,,,,,,,,,,,,,,,,,,,,
1138,-42.0267,-14217.4,-0.015565444,-35.5435,-76.9184,-267027,-0.028488296,-667.5675,-11.8415,89292.7,-0.004385741,223.23175,25.9875,155358,0.009625,388.395,69.8625,102975,0.025875,257.4375,-27.3563,-174327,-0.010131963,-435.8175,,,,,,,,,,,,,,,,,,,,,,,,
1139,-33.9267,28051.2,-0.012565444,70.128,-68.8184,-222803,-0.025488296,-557.0075,-3.7415,129861,-0.001385741,324.6525,36.7875,177414,0.013625,443.535,59.0625,46692.3,0.021875,116.73075,-35.4563,-191460,-0.013131963,-478.65,,,,,,,,,,,,,,,,,,,,,,,,
1140,-25.8267,67282.6,-0.009565444,168.2065,-60.7184,-178423,-0.022488296,-446.0575,5.81133,171504,0.002152344,428.76,47.5875,197995,0.017625,494.9875,48.2625,2973.24,0.017875,7.4331,-43.5563,-207598,-0.016131963,-518.995,,,,,,,,,,,,,,,,,,,,,,,,
