,Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M)
23,-2.53125,-14069.2,-0.0009375,-35.173,-2.53125,-13971.3,-0.0009375,-34.92825,-3.0375,-17810.3,-0.001125,-44.52575,-2.53125,-14232.9,-0.0009375,-35.58225,-2.53125,-14101.2,-0.0009375,-35.253,-2.53125,-14971.3,-0.0009375,-37.42825,172.404,228735,0.063853333,571.8375,160.794,261647,0.059553333,654.1175,160.438,292204,0.059421481,730.51,209.188,322391,0.077477037,805.9775,234.328,333778,0.086788148,834.445,200.218,318474,0.074154815,796.185
24,-3.54375,-19693.8,-0.0013125,-49.2345,-3.54375,-19560,-0.0013125,-48.9,-4.05,-23747.4,-0.0015,-59.3685,-3.54375,-19849.1,-0.0013125,-49.62275,-3.54375,-19683.7,-0.0013125,-49.20925,-3.54375,-20901.6,-0.0013125,-52.254,174.656,225936,0.064687407,564.84,162.061,259317,0.060022593,648.2925,164.442,284260,0.060904444,710.65,213.192,316151,0.07896,790.3775,234.526,333713,0.086861481,834.2825,201.72,314352,0.074711111,785.88
25,-4.55625,-25318.5,-0.0016875,-63.29625,-4.55625,-25148.9,-0.0016875,-62.87225,-5.0625,-29684.5,-0.001875,-74.21125,-4.55625,-25461.5,-0.0016875,-63.65375,-4.55625,-25263.6,-0.0016875,-63.159,-4.55625,-26830.3,-0.0016875,-67.07575,178.035,221528,0.065938889,553.82,163.961,256000,0.060726296,640,165.944,281666,0.061460741,704.165,214.694,313726,0.079516296,784.315,234.724,333640,0.086934815,834.1,203.972,308377,0.075545185,770.9425
26,-5.56875,-30943.3,-0.0020625,-77.35825,-5.56875,-30737.8,-0.0020625,-76.8445,-6.075,-35621.7,-0.00225,-89.05425,-5.56875,-31060.1,-0.0020625,-77.65025,-5.56875,-30839.8,-0.0020625,-77.0995,-5.56875,-32755.2,-0.0020625,-81.888,179.302,219970,0.066408148,549.925,166.812,251328,0.061782222,628.32,168.197,277985,0.062295185,694.9625,216.947,309721,0.080350741,774.3025,234.921,333554,0.087007778,833.885,207.351,300769,0.076796667,751.9225
27,-6.58125,-36568.2,-0.0024375,-91.4205,-6.58125,-36326.9,-0.0024375,-90.81725,-7.0875,-41559.1,-0.002625,-103.89775,-6.58125,-36642.3,-0.0024375,-91.60575,-6.58125,-36402.8,-0.0024375,-91.007,-6.58125,-38670.3,-0.0024375,-96.67575,181.203,217653,0.067112222,544.1325,171.088,245103,0.063365926,612.7575,171.575,272971,0.063546296,682.4275,220.325,302867,0.081601852,757.1675,235.218,333379,0.087117778,833.4475,208.618,298411,0.077265926,746.0275
28,-7.59375,-42189.9,-0.0028125,-105.47475,-7.59375,-41916,-0.0028125,-104.79,-8.1,-47496.5,-0.003,-118.74125,-7.59375,-42212.6,-0.0028125,-105.5315,-7.59375,-41950.5,-0.0028125,-104.87625,-7.59375,-44568.6,-0.0028125,-111.4215,184.054,214252,0.068168148,535.63,172.692,243057,0.06396,607.6425,176.644,266341,0.065423704,665.8525,221.592,300331,0.082071111,750.8275,235.515,333115,0.087227778,832.7875,210.519,295133,0.07797,737.8325
29,-8.60625,-47808.5,-0.0031875,-119.52125,-8.60625,-47505.2,-0.0031875,-118.763,-9.1125,-53434.1,-0.003375,-133.58525,-8.60625,-47770.1,-0.0031875,-119.42525,-8.60625,-47486.1,-0.0031875,-118.71525,-8.60625,-50451.1,-0.0031875,-126.12775,188.33,209379,0.069751852,523.4475,175.097,240161,0.064850741,600.4025,178.544,264141,0.066127407,660.3525,223.493,296473,0.082775185,741.1825,235.811,332713,0.087337407,831.7825,213.369,290716,0.079025556,726.79
30,-9.61875,-53421.6,-0.0035625,-133.554,-9.61875,-53094.5,-0.0035625,-132.73625,-10.125,-59371.7,-0.00375,-148.42925,-9.61875,-53314.9,-0.0035625,-133.28725,-9.61875,-53010.1,-0.0035625,-132.52525,-9.61875,-56322.7,-0.0035625,-140.80675,189.934,207731,0.070345926,519.3275,178.706,236157,0.066187407,590.3925,181.395,261002,0.067183333,652.505,226.344,290490,0.083831111,726.225,236.256,331673,0.087502222,829.1825,217.646,284946,0.08060963,712.365
31,-9.61875,-53421.6,-0.0035625,-133.554,-9.61875,-53094.5,-0.0035625,-132.73625,-9.1125,-53434.1,-0.003375,-133.58525,-9.61875,-53314.9,-0.0035625,-133.28725,-9.61875,-53010.1,-0.0035625,-132.52525,-9.61875,-56322.7,-0.0035625,-140.80675,192.339,205367,0.071236667,513.4175,184.118,230780,0.068191852,576.95,185.671,256617,0.068767037,641.5425,229.195,283976,0.084887037,709.94,236.701,329998,0.087667037,824.995,221.922,280020,0.082193333,700.05
32,-8.60625,-47796.4,-0.0031875,-119.491,-8.60625,-47505.2,-0.0031875,-118.763,-8.1,-47496.5,-0.003,-118.74125,-8.60625,-47689.7,-0.0031875,-119.22425,-8.60625,-47420.8,-0.0031875,-118.552,-8.60625,-50385.1,-0.0031875,-125.96275,195.947,202027,0.072572963,505.0675,186.147,228975,0.068943333,572.4375,192.086,250683,0.071142963,626.7075,232.046,277264,0.085942963,693.16,237.146,327955,0.087831852,819.8875,226.198,275715,0.083777037,689.2875
